product_name,price,title,reviewer,date,description
KIMO DIRECT Verwarmde Jas met 10.000 mAh Powerbank - Verwarmde Jas - Unisex - Zwart,"109
  95",Maakt belofte waar,Techwillem,12 januari 2022,"Heel tevreden, cadeau voor mijn vrouw vrij laat besteld en toch mooi op tijd geleverd. Goed verpakt werkt perfect en oogt mooi en degelijk."
KIMO DIRECT Verwarmde Jas met 10.000 mAh Powerbank - Verwarmde Jas - Unisex - Zwart,"109
  95",Heerlijke jas!!,henkie1953,11 december 2021,perfecte  elektrische jas!!Verdient zichzelf in zeer korte tijd terug doordat de verwarming praktisch uit kan.Jammer dat zoiets nog niet te krijgen is op 230 volt .(net als bij een elektrische deken).Hopelijk komt dat nog ooit!Bij de huidige energieprijzen een uitstekend middel om energie te besparen zonder het koud te hebben.Ideaal kledingstuk voor vrijgezelle kou kleumers!Koop hem niet te klein want ze zijn gemaakt voor chinese ( kleine)mensen.Als jouw maat medium is koop hem dan in maat large anders is hij te klein!
KIMO DIRECT Verwarmde Jas met 10.000 mAh Powerbank - Verwarmde Jas - Unisex - Zwart,"109
  95",Warm,Gamer15157,15 november 2022,Handige warme jas en mooi
KIMO DIRECT Verwarmde Jas met 10.000 mAh Powerbank - Verwarmde Jas - Unisex - Zwart,"109
  95",Goede aankoop,Kristof19,18 december 2021,"Zeer tevreden, werkt perfect!"
KIMO DIRECT Verwarmde Jas met 10.000 mAh Powerbank - Verwarmde Jas - Unisex - Zwart,"109
  95",Aanrader,Varie74,12 december 2021,"Mijn zoontje heeft er heel veel plezier van, vooral ideaal met vissen in deze tijd."
Ralka Regenjack - Senior - Rood - XXL,"14
  65",Waterdicht en winddicht.,HdvC,1 oktober 2022,Dit jack is water- en winddicht.  Helaas niet ademend.Omschrijving klopt niet helemaal: geen ritssluiting in de zakken en slecht 1 bies op de rug.Handig tasje waar je je opgevouwen regenjack in kan doen is echt niet zo handig. Sterker nog.... Je krijgt het jasje er niet of met heeeeel veel moeite in.
Ralka Regenjack - Senior - Rood - XXL,"14
  65",Tevreden,Yasminodette,30 november 2021,Is ok
Ralka Regenjack - Senior - Rood - XXL,"14
  65",Je zweet je kapot in dit jack,BarbaraJikai,22 oktober 2021,"Matig jackje, maar ja, voor die prijs verwacht ik niet veel. Hij lijkt waterdicht, maar ademt nul. Totaal niet. Dat betekent dat je alsnog kletsnat wordt door je eigen zweet dat nergens naartoe kan, bij een fietstochtje van meer dan een kwartier of een half uurtje lopen. Dan is een vuillniszak ongeveer net zo effectief als dit jack.Wel prima winddicht. Dat dan weer wel."
Ralka Regenjack - Senior - Rood - XXL,"14
  65",Niet mooi,Marvijn,29 september 2021,Op de foto iets gekreukt in werkelijkheid heel erg gekreukt en ziet er niet uit. Is bij een lichte bui wel waterdicht.
Ralka Regenjack - Senior - Rood - XXL,"14
  65",Comfortabele regenjas overal meeneembaar,Grietje2311,17 augustus 2021,Gemakkelijk overal mee te nemen tijdens een wandeling
Ralka Regenjack - Senior - Rood - XXL,"14
  65",Top Site,struusken,26 september 2018,Past volledig met de opgegeven beschrijving
JACK&JONES ESSENTIALS JJEROCKY JACKET NOOS Heren Jas - Maat L,"50
  40",leuke jas maar klein,Jokta,31 augustus 2021,bestel een maat groter..  valt wat klein
JACK&JONES ESSENTIALS JJEROCKY JACKET NOOS Heren Jas - Maat L,"50
  40","Mooi jas, valt erg klein.",MartinMaeysonAvery,11 november 2020,De jas valt erg klein.Ik had een L besteld en heb een normaal postuur. Ik heb inmiddels de XXL binnen en deze zit precies goed.
JACK&JONES ESSENTIALS JJEROCKY JACKET NOOS Heren Jas - Maat L,"50
  40",Jas van jack&amp;jones,Oventje60,30 november 2021,Mooie stevige leren jas
JACK&JONES ESSENTIALS JJEROCKY JACKET NOOS Heren Jas - Maat L,"50
  40",Fantastisch,donja50,12 oktober 2021,Zit erg fijn en er gaat geen regen doorheen
JACK&JONES ESSENTIALS JJEROCKY JACKET NOOS Heren Jas - Maat L,"50
  40",Mooie jas voor een mooi prijsje,Rienaatje,14 september 2021,"Super , mooie jas . Past perfect ."
JACK&JONES ESSENTIALS JJEROCKY JACKET NOOS Heren Jas - Maat L,"50
  40",Prachtig…,DaWe,25 januari 2022,Past perfect ….. heel Mooie Jacket.
JACK&JONES JJERUSH BOMBER NOOS Heren Jas - Maat L,"33
  11",Al oke product is op tijd bezorgt,Rudybrugge,29 maart 2023,prachtige vest prijs kwaliteit
JACK&JONES JJERUSH BOMBER NOOS Heren Jas - Maat L,"33
  11",Mooie voorjaars jas,Kerst05,20 april 2021,Goede qualiteit voor een scherpe prijs
JACK&JONES JJERUSH BOMBER NOOS Heren Jas - Maat L,"33
  11",Prima voor deze prijs,Reubs,19 mei 2020,Maat valt goed. Prima zomerjas voor dit geld.
JACK&JONES JJERUSH BOMBER NOOS Heren Jas - Maat L,"33
  11","Review, het is een goede jas voor weer en wind van mooi materiaal, And",Pietprecies143,22 april 2020,"Het is een goede jas, ook voor in de regen. Had het aleen een ándere benaming gegeven omdat het niet echt een Bomberjack is!"
MGO Heren Bradford Waxjas - Winddicht en Waterafstotend - Gewatteerde Parka - Groen - Maat L,"129
  99","Afrader, pilt enorm!",Helene50,6 februari 2023,Op plekken waar er wrijving is (onder de armen etc.) ontstaan er allemaal bolletjes (pilling).Heel lelijk en als de jas nog retour had gekund hadden we dat gedaan.Afrader!
MGO Heren Bradford Waxjas - Winddicht en Waterafstotend - Gewatteerde Parka - Groen - Maat L,"129
  99",Afneembare capuchon ontbreekt!,Wopko,14 januari 2023,Jas in goede orde ontvangen. Echter ontbreekt de afneembare capuchon!
Cars Jeans  HARROW Nyl.Taslon Heren Jas - Maat L,"99
  99","Mooie,warme jas,ben er heel blij mee",30Kipe,12 januari 2023,"is eerste keer dat ik kleding kocht via bol . com ,het is wel een aanrader,"
Cars Jeans  HARROW Nyl.Taslon Heren Jas - Maat L,"99
  99",Zo blij,Chriszzdeenigeechte,10 januari 2023,Ik ben uiteraard tevreden
Cars Jeans  HARROW Nyl.Taslon Heren Jas - Maat L,"99
  99","Fijne, warme winterjas!",Stevig9,9 december 2022,aantal dagen aan. voelt heel fijn en zeker warm. mooie kleur en waterdicht! zeer tevreden!!!
Lacoste 1hb1 Heren Jack 07 Bh7774-23-f2w - Kleur Blauw - Maat 54,"110
  -",Geweldige jas voelt heerlijk licht,Robertoroos,12 januari 2023,Heerlijke jas lekker licht en toch warm
Lacoste 1hb1 Heren Jack 07 Bh7774-23-f2w - Kleur Blauw - Maat 54,"110
  -",Maat staat verkeerd op site,joyvlogs,19 november 2022,Maat klopt niet op site een xl is 54 en ik krijg een L 54!! ?
Cars Jeans  HARROW Nyl.Taslon Heren Jas - Maat M,"50
  -","Mooie,warme jas,ben er heel blij mee",30Kipe,12 januari 2023,"is eerste keer dat ik kleding kocht via bol . com ,het is wel een aanrader,"
Cars Jeans  HARROW Nyl.Taslon Heren Jas - Maat M,"50
  -",Zo blij,Chriszzdeenigeechte,10 januari 2023,Ik ben uiteraard tevreden
Cars Jeans  HARROW Nyl.Taslon Heren Jas - Maat M,"50
  -","Fijne, warme winterjas!",Stevig9,9 december 2022,aantal dagen aan. voelt heel fijn en zeker warm. mooie kleur en waterdicht! zeer tevreden!!!
BJØRNSON Remco Regenjas / Zomerjas Zomer Heren - Waterdicht - Maat XL - Blauw,"79
  95",Prima,Neebarend,13 mei 2022,Prima jas deze maat is goed.Valt wel klein uit. Ik had eerst 4xl  te klein ik moest 6xl hebben.
BJØRNSON Remco Regenjas / Zomerjas Zomer Heren - Waterdicht - Maat XL - Blauw,"79
  95",Prettige jas,WimBek,3 juli 2020,"Een stevige jas, lekker licht en ventileert prima. Aanrader!"
BJØRNSON Remco Regenjas / Zomerjas Zomer Heren - Waterdicht - Maat XL - Blauw,"79
  95",Een prima Jas,Geschutskoepel,10 september 2022,"Prima Jas. Netjes afgewerkt. In dit geval voor zes keer XL gekozen , normaal heb ik 4 keer xl, omdat ik weet dat bij dit merkt de maatvoering nogal klein is daarom 6 x en dat past prima."
BJØRNSON Remco Regenjas / Zomerjas Zomer Heren - Waterdicht - Maat XL - Blauw,"79
  95",Fantastische aanrader,Barracuda123456788,6 oktober 2022,"Winddicht. Dus heel warm volgens de, op het eerste zicht een ""dunne"" jas. Ik rijdt er met mijn brommer mee in de regen en/of kou, en ik blijf droog én warm."
BJØRNSON Remco Regenjas / Zomerjas Zomer Heren - Waterdicht - Maat XL - Blauw,"79
  95",Mouwen,hermanbilzen,17 augustus 2022,Omtrek is goed maar mouwen vallen erg kort.
JACK & JONES JJEHERO PUFFER COLLAR NOOS Heren Jas - Maat XL,"38
  99",Jas voor man,Innove,27 maart 2023,"Mooi produkt, prima levering"
JACK & JONES JJEHERO PUFFER COLLAR NOOS Heren Jas - Maat XL,"38
  99",Goede jas,Ryan0,26 maart 2023,Jas zit lekker alleen alleen niet water dicht je shirt word gouw nat
JACK & JONES JJEHERO PUFFER COLLAR NOOS Heren Jas - Maat XL,"38
  99",Jack&jones jas,Snoopysemmy37,1 maart 2023,Super tevreden met deze jas.
